iter	Passed	Remaining
588	18402	12840
589	18432	12809
590	18462	12777
591	18493	12745
592	18524	12713
593	18557	12684
594	18589	12653
595	18615	12618
596	18642	12584
597	18672	12552
598	18707	12523
599	18739	12493
600	18760	12454
601	18784	12419
602	18820	12391
603	18852	12360
604	18887	12331
605	18916	12298
606	18955	12272
607	18988	12242
608	19016	12209
609	19046	12177
610	19074	12143
611	19099	12109
612	19131	12077
613	19163	12047
614	19193	12015
615	19223	11983
616	19254	11952
617	19282	11918
618	19314	11888
619	19347	11857
620	19381	11828
621	19410	11796
622	19437	11762
623	19468	11731
624	19498	11699
625	19526	11665
626	19551	11631
627	19575	11595
628	19611	11567
629	19642	11535
630	19675	11505
631	19709	11476
632	19742	11446
633	19773	11415
634	19802	11382
635	19835	11352
636	19866	11321
637	19894	11288
638	19923	11255
639	19952	11223
640	19983	11191
641	20010	11158
642	20049	11131
643	20080	11100
644	20108	11067
645	20134	11033
646	20165	11002
647	20204	10975
648	20236	10944
649	20266	10912
650	20298	10882
651	20333	10853
652	20363	10821
653	20400	10792
654	20427	10759
655	20455	10726
656	20479	10691
657	20511	10660
658	20541	10629
659	20569	10596
660	20599	10564
661	20630	10533
662	20665	10504
663	20692	10471
664	20724	10440
665	20753	10408
666	20786	10377
667	20815	10345
668	20844	10313
669	20878	10283
670	20902	10248
671	20927	10214
672	20957	10182
673	20980	10147
674	21006	10114
675	21037	10083
676	21060	10047
677	21090	10016
678	21117	9983
679	21136	9946
680	21165	9914
681	21192	9881
682	21221	9849
683	21252	9818
684	21289	9789
685	21317	9757
686	21343	9724
687	21368	9690
688	21406	9662
689	21431	9628
690	21461	9597
691	21482	9561
692	21511	9529
693	21538	9496
694	21560	9462
695	21581	9426
696	21609	9393
697	21638	9362
698	21668	9330
699	21704	9301
700	21731	9269
701	21757	9236
702	21777	9200
703	21803	9167
704	21836	9137
705	21869	9107
706	21898	9075
707	21935	9046
708	21964	9015
709	21996	8984
710	22026	8953
711	22049	8918
712	22077	8886
713	22109	8856
714	22135	8823
715	22167	8792
716	22197	8761
717	22231	8731
718	22259	8699
719	22282	8665
720	22310	8633
721	22335	8600
722	22367	8569
723	22397	8538
724	22425	8506
725	22458	8476
726	22492	8446
727	22517	8413
728	22534	8377
729	22567	8346
730	22602	8317
731	22635	8287
732	22665	8255
733	22684	8220
734	22715	8189
735	22747	8159
736	22776	8127
737	22799	8094
738	22826	8061
739	22852	8029
740	22884	7998
741	22919	7969
742	22945	7936
743	22973	7904
744	23000	7872
745	23034	7842
746	23061	7810
747	23091	7779
748	23120	7747
749	23146	7715
750	23188	7688
751	23234	7662
752	23273	7634
753	23313	7606
754	23344	7575
755	23373	7543
756	23407	7513
757	23434	7481
758	23463	7450
759	23499	7420
760	23534	7391
761	23562	7359
762	23593	7328
763	23619	7296
764	23636	7260
765	23674	7232
766	23704	7200
767	23725	7167
768	23754	7135
769	23784	7104
770	23818	7074
771	23848	7043
772	23881	7012
773	23907	6980
774	23935	6949
775	23969	6919
776	23985	6883
777	24010	6851
778	24042	6820
779	24070	6788
780	24099	6757
781	24126	6725
782	24155	6694
783	24172	6659
784	24209	6630
785	24240	6599
786	24271	6569
787	24300	6537
788	24330	6506
789	24358	6474
790	24390	6444
791	24417	6412
792	24452	6382
793	24478	6350
794	24503	6318
795	24532	6287
796	24561	6255
797	24592	6225
798	24623	6194
799	24653	6163
800	24681	6131
801	24702	6098
802	24733	6067
803	24761	6036
804	24800	6007
805	24826	5975
806	24863	5946
807	24894	5915
808	24924	5884
809	24949	5852
810	24979	5821
811	25009	5790
812	25038	5759
813	25064	5727
814	25093	5696
815	25128	5666
816	25154	5634
